순환기,실신,혈관미주신경성,
,,기립성저혈압,
,무해성 심잡음,생리적폐동맥분지협착,
,,스틸잡음,
,,정맥잡음,
,부정맥,Sinus,Sick sinus syndrome
,,Premature beat,Atrial/Ventricular
,,Atrial,Flutter/Fibrillation
,,AV block,"1도, 2도 (I, II), 3도"
,,PSVT,PSVT (+WPW)
,,WPW,WPW only
,,,WPW + AF
,,Ventricular,Tachycardia (non-sus)
,,,Tachycardia (sus mono)
,,,Flutter/Fibrillation
,(기타),Digitalis,
,(급사증후군),브루가다 증후군,
,,Long QT syndrome,
,,à TdP,
,심부전,급성,
,,만성 (HFrEF),
,,만성 (HEpEF),
,판막질환,승모판막협착 (MS),
,,승모판막역류 (MR),
,,대동맥판막협착 (AS),
,,대동맥판막역류 (AR),
,,폐동맥판막협착 (PS),
,,삼첨판막역류 (TR),
,,* 승모판막일탈증 (MVP),
,심근질환,확장성 (DCMP),
,,비후성 (HCMP),
,,제한성 (RCMP),
,,심근염,
,심막질환,급성 심막염,
,,심장 눌림증,
,,교착 심막염,
,심내막염,감염 심내막염 (IE),
,허혈성 심질환,안정협심증 (SA),
,,불안정협심증 (UA),
,,NSTEMI,
,,STEMI,
,,RV infarct,
,,변이협심증 (VA),
,대동맥 질환,대동맥박리,
,,복부대동맥류,
,,가성동맥류,
,혈관질환,급성 동맥 폐색,
,,동맥경화성 만성 동맥 폐색,
,,폐쇄혈관혈전염 (버거씨),
,,대동맥-엉덩동맥 폐색,
,,Takayasu’s arteritis,
,,DVT,
,,Varicose vein,
,고혈압,고혈압,
호흡기,기침,급성 (<3주),
,,아급성 (3주~8주),
,,만성 (>8주),
,천식,천식,
,,* 급성 악화 ,
,,아스피린 과민성 천식,
,,운동 유발 ,
,,직업성 천식,
,COPD,COPD,
,,* 급성악화 ,
,폐렴,Typical pneumonia,
,,* Klebsilla pneumonia,
,,Atypical pneumonia,
,,* mycoplasma pneumonia,
,,* pneumocystis pneumonia,
,폐농양,폐농양,
,기관지 확장증,기관지 확장증,
,폐결핵,폐결핵,
,,잠복결핵 (성인),
,,잠복결핵 (소아),
,,좁쌀결핵,
,,기관지결핵 ,
,,진균종,
,ILD,공통,
,,IPF,
,,"NSIP, COP",
,,Sarcoidosis,
,ILD – 직업성,석면폐증,
,,규폐증,
,과민성 폐장염,과민성 폐장염,
,호산구 폐렴,호산구 폐렴,
,,ABPA,
,,폐흡중증,
,,척-스트라우스,
,폐종양,SPN,
,,폐암 ,
,,* 선암,
,,* 편평상피암,
,,* 소세포암,
,폐혈관,폐색전증,
,,폐고혈압,
,기흉,원발성 기흉,
,,이차성 기흉,
,,긴장성 기흉,
,흉수,부폐렴성,
,,결핵성,
,,악성 흉수,
,,암중가슴증,
,종격동,종격동 종괴,
,,세로칸 기종,
,,세로칸염,
,환기장애,Hyperventilation,
,,Hypoventilation ,
,,ARDS,
소화기 (위장관),삼킴곤란,구인도 삼킴곤란,
,,식도 삼킴곤란,
,배변이상,설사,
,,변비,
,흡수장애,지방변 ,
,,짧은창자증후군,
,,세균 과다증식 증후군,
,위장관 출혈,상부 위장관,
,,하부 위장관,
,식도,식도 협착,
,,식도 이완불능증,
,,미만성 식도연축,
,,GERD,
,,칸디다 식도염,
,,부식 식도염,
,,열공탈장,
,,Zenker 게실,
,,MW-syndrome,
,,Boerhaave syndrome,
,,식도암,
,H.pylori,감염 ,
,* PUD,위궤양,
,,십이지장 궤양,
,,* 출혈,
,,* 천공,
,,* 협착,
,,가스트린종,
,위,위용종 ,
,,위암,
,,위징관 기질종양,
,* 위 절제 부작용,들창자증후군,
,,날창자증후군,
,,알칼리역류증후군,
,,빠른비움증후군,
,,지연 위배출 ,
,하부위장관,IBS,
,* IBD,UC,
,,CD,
,,장결핵,
,,Appendicitis,
,,방사선 창자염,
,* 게실,게실,
,,게실염,
,,게실 출혈,
,* 위장관 혈관,급성 장간막 허혈,
,,허혈성 대장염,
,,만성 장간막 허혈,
,,혈관형성이상,
,,SMA syndrome,
,* 장폐색,소장 폐쇄,
,,대장 폐쇄,
,,구불창자 꼬임,
,* 암,소장암,
,,대장 용종,
,,FAP,
